"cnum_dat","acc_cod","acc_funct","newbalacc","npc","abs","currency","dtdate"
"0401/07/800/29","VNB_PEN_CR","Пеня по долгу просроченному","7339","1879","0","KZT","2017-10-19"
"0401/07/800/29","VNB_EXCEED_PRC","Проценты списанные","7141","1741","0","KZT","2017-10-19"
"0401/07/800/29","ACC_RESERV","Резервы (провизии)","1428","1428","0","KZT","2017-10-19"
"0401/07/800/29","VNB_PEN_PRC","Пеня по процентам просроченным","7339","1879","0","KZT","2017-10-19"
"0401/07/800/29","ACCOUNT","Долг","1420","1420","0","KZT","2017-10-19"
"0401/07/800/29","ACC_PROFIT_PF","Проценты","1740","1740","0","KZT","2017-10-19"
"0401/07/800/29","ACC_DEBTS_PRC","Проценты просроченные","1741","1741","0","KZT","2017-10-19"
"0401/07/800/29","ACC_DEBTS_CR","Долг просроченный","1421","1421","0","KZT","2017-10-19"
"0401/07/800/29","PROFIT","Stop Проценты","A401","1741","20349501.99","KZT","2017-10-19"
"0401/07/800/29","OVERDUE_PROFIT","Stop Проценты просроченные","A403","1741","8910986.28","KZT","2017-10-19"
"0401/07/800/29","PENY_OVERDUE_ACCOUNT","Stop Пеня на долг просроченный","A701","1879","0","KZT","2017-10-19"
"0401/07/800/29","PENY_OVERDUE_PROFIT","Stop Пеня на проценты просроченные","A702","1879","0","KZT","2017-10-19"
"0401/07/800/29","PEN_CR","Неустойка по долгу просроченному","1879","1879","0","KZT","2017-10-19"
"0401/07/800/29","PEN_PRC","Неустойка по процентам просроченным","1879","1879","0","KZT","2017-10-19"
"0401/07/800/29","NOT_STOP_TREB_CRD","Внесистемный учет непрекращенных требований по займам (основной долг)","A835","1424","13843725.4","KZT","2017-10-19"
"0401/07/800/29","NOT_STOP_TREB_PRC","Внесистемный учет непрекращенных требований по начисленным доходам по вознаграждению","A841","1740","6562305.5","KZT","2017-10-19"
"0401/07/800/29","NOT_STOP_TREB_DEL_OTR","Внесистемный учет непрекращенных требований по корректировки амортизированной стоимости","A843","1741","3303102.03","KZT","2017-10-19"
"0401/07/800/29","VNB_CALL","Требования (PAWN)","7250","7250","0","KZT","2017-10-19"
